,Equipo local,Resultado,Equipo visitante
0,Xolos,3 - 1,Santos Laguna
1,Pachuca,M 19:00,Toluca
2,Atlético San Luis,M 19:00,Cruz Azul
3,América,M 19:00,Atlas
4,Gallos Blancos,M 21:00,Tigres
5,Pumas,M 21:05,Puebla
6,Chivas,X 19:05,León FC
7,Mazatlán Fútbol Club,X 20:00,Necaxa
8,Rayados,X 21:00,Bravos
