,Equipo local,Resultado,Equipo visitante
0,Atlas,1 - 0,Santos Laguna
1,Gallos Blancos,0 - 2,Chivas
2,Pachuca,2 - 0,Atlético San Luis
3,Puebla,2 - 2,León FC
4,Cruz Azul,3 - 0,Xolos
5,Necaxa,0 - 1,Rayados
6,Bravos,1 - 2,Pumas
7,Tigres,1 - 0,América
8,Toluca,3 - 0,Mazatlán Fútbol Club
