,Equipo local,Resultado,Equipo visitante
0,Atlético San Luis,1 - 1,Xolos
1,Puebla,1 - 2,Atlas
2,Chivas,2 - 0,Mazatlán Fútbol Club
3,Rayados,2 - 1,Gallos Blancos
4,Santos Laguna,0 - 3,Tigres
5,Cruz Azul,1 - 1,Toluca
6,Bravos,1 - 2,América
7,Pumas,2 - 0,Pachuca
8,León FC,1 - 1,Necaxa
