,Equipo local,Resultado,Equipo visitante
0,Gallos Blancos,0 - 2,Cruz Azul
1,Mazatlán Fútbol Club,3 - 0,Pachuca
2,Xolos,2 - 2,Rayados
3,Necaxa,3 - 0,Bravos
4,Atlas,2 - 1,Pumas
5,León FC,1 - 1,Santos Laguna
6,Tigres,1 - 1,Chivas
7,América,0 - 1,Puebla
8,Toluca,2 - 1,Atlético San Luis
