,Equipo local,Resultado,Equipo visitante
0,Puebla,V 18:00,Bravos
1,Gallos Blancos,V 19:00,Necaxa
2,Tigres,V 20:00,León FC
3,Xolos,V 21:05,Mazatlán Fútbol Club
4,Toluca,S 17:00,Atlas
5,Pachuca,S 19:05,Cruz Azul
6,Chivas,S 21:05,Rayados
7,Atlético San Luis,S 21:10,Santos Laguna
8,América,D 18:00,Pumas
