,Equipo Local,xG_local,xG_visita,Equipo Visita
0,Atlético San Luis,2.025,1.2375,Xolos
1,Puebla,0.41999999999999993,1.2599999999999998,Atlas
2,Chivas,1.4000000000000001,0.0,Mazatlán Fútbol Club
3,Rayados,1.2,0.46666666666666673,Gallos Blancos
4,Santos Laguna,0.15,1.2,Tigres
5,Cruz Azul,1.0125,0.8999999999999999,Toluca
6,Bravos,0.5,1.1999999999999997,América
7,Pumas,0.9333333333333335,0.7999999999999999,Pachuca
8,León FC,0.22499999999999998,1.3499999999999999,Necaxa
