,Equipo Local,xG_local,xG_visita,Equipo Visita
0,América,1.5999999999999999,0.13333333333333333,Gallos Blancos
1,Xolos,0.0,2.1,Chivas
2,Mazatlán Fútbol Club,0.8999999999999999,1.3499999999999999,Atlético San Luis
3,Atlas,0.22499999999999998,0.3,Tigres
4,León FC,0.29999999999999993,0.6,Pachuca
5,Necaxa,1.8899999999999995,0.41999999999999993,Puebla
6,Toluca,2.6999999999999997,0.5625,Bravos
7,Santos Laguna,0.7999999999999999,2.8000000000000003,Pumas
8,Rayados,0.3,3.15,Cruz Azul
