,Local,xG_local,xG_visita,Visita
0,Xolos,2.5306122448979593,0.9941690962099127,Santos
1,Atlético San Luis,1.8452380952380951,1.076388888888889,América
2,América,0.8611111111111112,1.9331065759637187,Atlas
3,Pachuca,0.26360544217687076,1.7397959183673473,Toluca
4,Querétaro,0.19770408163265307,2.609693877551021,Tigres
5,Pumas,1.7397959183673468,1.3180272108843538,Puebla
6,Chivas,2.4603174603174605,0.6150793650793651,León
7,Mazatlán,0.6326530612244898,1.8075801749271139,Necaxa
8,Rayados,2.30466472303207,1.054421768707483,Juárez
