,Equipo local,Resultado,Equipo visitante
0,Puebla,1 - 0,Santos Laguna
1,Gallos Blancos,1 - 2,Xolos
2,Bravos,2 - 2,Atlas
3,Atlético San Luis,2 - 1,América
4,Chivas,0 - 0,Toluca
5,Tigres,1 - 0,Necaxa
6,Cruz Azul,1 - 0,Mazatlán Fútbol Club
7,Pumas,4 - 1,León FC
8,Pachuca,0 - 1,Rayados
