,Equipo local,Resultado,Equipo visitante
0,Atlas,0 - 1,Gallos Blancos
1,Puebla,2 - 3,Pachuca
2,León FC,S 17:00,Atlético San Luis
3,Rayados,S 19:00,Mazatlán Fútbol Club
4,Necaxa,S 19:00,América
5,Cruz Azul,S 21:05,Chivas
6,Pumas,D 17:00,Xolos
7,Santos Laguna,D 19:05,Toluca
8,Bravos,D 19:10,Tigres
