,Equipo local,Resultado,Equipo visitante
0,Puebla,2 - 1,Gallos Blancos
1,Atlas,2 - 0,Pachuca
2,Tigres,1 - 0,Atlético San Luis
3,Bravos,1 - 0,Mazatlán Fútbol Club
4,Necaxa,2 - 0,Pumas
5,Toluca,2 - 0,Xolos
6,América,S 18:50,Chivas
7,León FC,S 20:35,Cruz Azul
8,Santos Laguna,S 21:00,Rayados
