,Equipo local,Resultado,Equipo visitante
0,Atlético San Luis,2 - 1,Atlas
1,Mazatlán Fútbol Club,1 - 1,Puebla
2,Xolos,2 - 1,León FC
3,Pachuca,1 - 1,Gallos Blancos
4,Chivas,5 - 0,Bravos
5,Rayados,1 - 2,Toluca
6,Cruz Azul,4 - 1,América
7,Pumas,1 - 3,Tigres
8,Santos Laguna,3 - 2,Necaxa
