"FECHA","LOCAL","VISITA"
"Sábado 16 de marzo, 19:00","León","Puebla"
"Sábado 16 de marzo, 19:00","Toluca","Pumas UNAM"
"Sábado 16 de marzo. 21:00","Tigres UANL","Mazatlán FC"
"Sábado 16 de marzo. 21:00","Guadalajara","América"
"Domingo 17 de marzo, 17:00","Atlas","Monterrey"
"Domingo 17 de marzo, 19:00","Atlético de San Luis","Pachuca"
"Viernes 29 de marzo, 19:00","Puebla","Tigres UANL"
"Viernes 29 de marzo, 21:00","Mazatlán FC","Tijuana"
"Sábado 30 de marzo, 17:00","América","Atlético de San Luis"
"Sábado 30 de marzo, 19:00","Pachuca","Toluca"
"Sábado 30 de marzo, 19:00","Monterrey","Guadalajara"
"Sábado 30 de marzo. 21:00","Pumas UNAM","Cruz Azul"
"Domingo 31 de marzo, 17:00","Atlas","Querétaro"
"Domingo 31 de marzo, 19:00","Necaxa","León"
"Domingo 31 de marzo, 21:00","Juárez FC","Santos"
"Viernes 5 de abril, 19:00","Mazatlán FC","Pumas UNAM"
"Viernes 5 de abril, 21:00","Tijuana","Necaxa"
"Sábado 6 de abril, 17:00","León","Querétaro"
"Sábado 6 de abril, 19:00","Guadalajara","Puebla"
"Sábado 6 de abril, 19:00","Tigres UANL","Pachuca"
"Sábado 6 de abril, 21:00","Cruz Azul","Monterrey"
"Sábado 6 de abril, 21:00","Santos","América"
"Domingo 7 de abril, 12:00","Toluca","Atlas"
"Domingo 7 de abril, 16:00","Atlético de San Luis","Juárez FC"
"Viernes 12 de abril, 19:00","Querétaro","Mazatlán FC"
"Viernes 12 de abril, 21:00","Necaxa","Santos"
"Viernes 12 de abril, 21:00","Puebla","Cruz Azul"
"Sábado 13 de abril, 17:00","Pachuca","Guadalajara"
"Sábado 13 de abril, 19:00","América","Toluca"
"Sábado 13 de abril, 21:00","Monterrey","Tigres UANL"
"Domingo 14 de abril, 16:00","Atlas","Atlético de San Luis"
"Domingo 14 de abril, 18:00","Pumas UNAM","Atlético de San Luis"
"Domingo 14 de abril, 20:00","Juárez FC","Tijuana"
"Viernes 19 de abril, 19:00","Mazatlán FC","Juárez FC"
"Viernes 19 de abril, 21:00","Atlético de San Luis","Toluca"
"Viernes 19 de abril, 21:00","Tijuana","Puebla"
"Sábado 20 de abril, 17:00","León","Monterrey"
"Sábado 20 de abril, 19:00","Tigres UANL","Necaxa"
"Sábado 20 de abril, 19:00","Guadalajara","Querétaro"
"Sábado 20 de abril, 21:00","Pumas UNAM","América"
"Domingo 21 de abril, 18:00","Cruz Azul","Atlas"
"Domingo 21 de abril, 20:00","Santos","Pachuca"
"Viernes 26 de abril, 19:00","Pachuca","América"
"Viernes 26 de abril, 21:00","Querétaro","Pumas UNAM"
"Sábado 27 de abril, 17:00","Juárez FC","León"
"Sábado 27 de abril, 17:00","Tigres UANL","Tijuana"
"Sábado 27 de abril, 19:00","Pachuca","Mazatlán FC"
"Sábado 27 de abril, 19:00","Toluca","Cruz Azul"
"Sábado 27 de abril, 21:00","Atlas","Guadalajara"
"Domingo 28 de abril, 18:00","Necaxa","Monterrey"
"Domingo 28 de abril, 20:00","Santos","Atlético de San Luis "
