,Equipo local,Resultado,Equipo visitante
0,América,3 - 1,Gallos Blancos
1,Mazatlán Fútbol Club,2 - 2,Atlético San Luis
2,Xolos,4 - 2,Chivas
3,Atlas,1 - 1,Tigres
4,León FC,0 - 0,Pachuca
5,Necaxa,4 - 1,Puebla
6,Toluca,3 - 2,Bravos
7,Santos Laguna,1 - 1,Pumas
8,Rayados,0 - 4,Cruz Azul
