,Equipo local,Resultado,Equipo visitante
0,Puebla,2 - 1,Gallos Blancos
1,Atlas,2 - 0,Pachuca
2,Bravos,1 - 0,Mazatlán Fútbol Club
3,Tigres,1 - 0,Atlético San Luis
4,Necaxa,2 - 0,Pumas
5,Toluca,4 - 0,Xolos
6,América,1 - 0,Chivas
7,León FC,1 - 2,Cruz Azul
8,Santos Laguna,0 - 2,Rayados
