,Equipo Local,xG_local,xG_visita,Equipo Visita,diff,efi
0,Gallos Blancos,0.1,2.6999999999999997,Cruz Azul,-2.6,1
1,Mazatlán Fútbol Club,0.7999999999999999,0.6,Pachuca,0.2,1
2,Xolos,3.85,0.8999999999999999,Rayados,2.95,0
3,Necaxa,2.025,0.375,Bravos,1.65,1
4,Tigres,0,0.35000000000000003,Chivas,-0.35,0
5,Atlas,1.1999999999999997,0.7000000000000001,Pumas,0.5,1
6,León FC,0.8999999999999999,0.6,Santos Laguna,0.3,0
7,América,1.1199999999999997,0.5599999999999998,Puebla,0.56,0
8,Toluca,1.3499999999999999,1.0125,Atlético San Luis,0.3375,1
,,,,,,56%
