,Equipo Local,xG_local,xG_visita,Equipo Visita
0,Puebla,1.6799999999999997,0.2799999999999999,Gallos Blancos
1,Atlas,0.5999999999999999,0.3,Pachuca
2,Bravos,0.75,1.7999999999999998,Mazatlán Fútbol Club
3,Tigres,0.44999999999999996,0.33749999999999997,Atlético San Luis
4,Necaxa,1.7999999999999998,0.7000000000000001,Pumas
5,Toluca,2.6999999999999997,1.2375,Xolos
6,América,0.0,0.9333333333333335,Chivas
7,León FC,0.22499999999999998,1.3499999999999999,Cruz Azul
8,Santos Laguna,1.4000000000000001,1.2,Rayados
