,Local,xG_local,xG_visita,Visita,diferencia
0,Atlético San Luis,1.4666666666666666,1.4142857142857146,Atlas,0.0
1,Mazatlán,1.1523809523809525,1.2571428571428571,Puebla,-0.0
2,Xolos,2.4444444444444446,1.1523809523809525,León,1.0
3,Pachuca,0.8380952380952382,0.48888888888888893,Querétaro,0.0
4,Chivas,4.155555555555556,0.6111111111111112,Juárez,4.0
5,Rayados,0.7857142857142857,1.9206349206349207,Toluca,-1.0
6,Cruz Azul,3.0555555555555554,0.2851851851851852,América,3.0
7,Pumas,0.5866666666666668,1.0266666666666666,Tigres,-0.0
8,Santos,0.2933333333333334,1.955555555555556,Necaxa,-2.0
