,Equipo Local,xG_local,xG_visita,Equipo Visita,dif,efi
0,Atlas,1.0771653543307085,0.17952755905511814,Gallos Blancos,0.8976377952755903,1
1,Puebla,0.8976377952755905,1.246719160104987,Pachuca,-0.349081365,1
2,León FC,0.35905511811023627,1.436220472440945,Atlético San Luis,-1.077165354,0
3,Rayados,0.6732283464566928,2.0196850393700787,Mazatlán Fútbol Club,-1.346456693,0
4,Necaxa,0.673228346,0.5236220472440944,América,0.1496062992125986,0
5,Cruz Azul,0,0.673228346,Chivas,-0.673228346,0
6,Pumas,1.795275590551181,1.6456692913385826,Xolos,0.14960629921259838,1
7,Santos Laguna,0.44881889763779526,3.590551181102362,Toluca,-3.141732283,0
8,Bravos,0.18700787401574803,0.8976377952755905,Tigres,-0.710629921,1
,,,,,,44%
