,Equipo Local,xG_local,xG_visita,Equipo Visita,dif
0,Puebla,1.3105263157894738,1.0401002506265664,Bravos,0.27042606516290735
1,Gallos Blancos,0.18721804511278195,1.8721804511278197,Necaxa,-1.6849624060150377
2,Tigres,0.49924812030075194,0.12481203007518799,León FC,0.37443609022556396
3,Xolos,1.287124060150376,1.4041353383458648,Mazatlán Fútbol Club,-0.11701127819548884
4,Toluca,1.1233082706766917,0.5616541353383459,Atlas,0.5616541353383459
5,Pachuca,0.31203007518796994,1.2481203007518797,Cruz Azul,-0.9360902255639099
6,Chivas,2.5274436090225563,0.0,Rayados,2.5274436090225563
7,Atlético San Luis,2.396390977443609,0.5990977443609022,Santos Laguna,1.7972932330827067
8,América,0.8736842105263157,0.5616541353383459,Pumas,0.3120300751879699
